ABNIX, 28.6299991607666, ---, 04/11/2024, ---, 28.6299991607666, 28.6299991607666, 0.0, *
ABNIX, 28.010000228881836, ---, 04/12/2024, ---, 28.010000228881836, 28.010000228881836, 0.0, *
ABNIX, 27.739999771118164, ---, 04/15/2024, ---, 27.739999771118164, 27.739999771118164, 0.0, *
ABNIX, 27.530000686645508, ---, 04/16/2024, ---, 27.530000686645508, 27.530000686645508, 0.0, *
ABNIX, 27.440000534057617, ---, 04/17/2024, ---, 27.440000534057617, 27.440000534057617, 0.0, *
ABNIX, 27.3700008392334, ---, 04/18/2024, ---, 27.3700008392334, 27.3700008392334, 0.0, *
ABNIX, 27.15999984741211, ---, 04/19/2024, ---, 27.15999984741211, 27.15999984741211, 0.0, *
ABNIX, 27.34000015258789, ---, 04/22/2024, ---, 27.34000015258789, 27.34000015258789, 0.0, *
ABNIX, 27.709999084472656, ---, 04/23/2024, ---, 27.709999084472656, 27.709999084472656, 0.0, *
ABNIX, 27.760000228881836, ---, 04/24/2024, ---, 27.760000228881836, 27.760000228881836, 0.0, *
ABNIX, 27.610000610351562, ---, 04/25/2024, ---, 27.610000610351562, 27.610000610351562, 0.0, *
ABNIX, 27.790000915527344, ---, 04/26/2024, ---, 27.790000915527344, 27.790000915527344, 0.0, *
ABNIX, 27.979999542236328, ---, 04/29/2024, ---, 27.979999542236328, 27.979999542236328, 0.0, *
ABNIX, 27.65999984741211, ---, 04/30/2024, ---, 27.65999984741211, 27.65999984741211, 0.0, *
ABNIX, 27.549999237060547, ---, 05/01/2024, ---, 27.549999237060547, 27.549999237060547, 0.0, *
ABNIX, 27.920000076293945, ---, 05/02/2024, ---, 27.920000076293945, 27.920000076293945, 0.0, *
ABNIX, 28.18000030517578, ---, 05/03/2024, ---, 28.18000030517578, 28.18000030517578, 0.0, *
ABNIX, 28.420000076293945, ---, 05/06/2024, ---, 28.420000076293945, 28.420000076293945, 0.0, *
ABNIX, 28.5, ---, 05/07/2024, ---, 28.5, 28.5, 0.0, *
ABNIX, 28.600000381469727, ---, 05/08/2024, ---, 28.600000381469727, 28.600000381469727, 0.0, *
ABNIX, 28.860000610351562, ---, 05/09/2024, ---, 28.860000610351562, 28.860000610351562, 0.0, *
IDCC, 97.63999938964844, ---, 04/11/2024, ---, 98.13999938964844, 96.0, 4269.0, *
IDCC, 96.55000305175781, ---, 04/12/2024, ---, 97.1500015258789, 95.98999786376953, 3899.0, *
IDCC, 96.41999816894531, ---, 04/15/2024, ---, 97.22000122070312, 95.87999725341797, 4284.0, *
IDCC, 96.80000305175781, ---, 04/16/2024, ---, 96.83999633789062, 95.37999725341797, 3324.0, *
IDCC, 96.01000213623047, ---, 04/17/2024, ---, 97.9000015258789, 95.91999816894531, 5350.0, *
IDCC, 95.66000366210938, ---, 04/18/2024, ---, 96.44999694824219, 95.45999908447266, 4284.0, *
IDCC, 96.62999725341797, ---, 04/19/2024, ---, 96.83000183105469, 95.36000061035156, 4075.0, *
IDCC, 97.9000015258789, ---, 04/22/2024, ---, 98.37000274658203, 96.4800033569336, 6721.0, *
IDCC, 98.93000030517578, ---, 04/23/2024, ---, 99.5, 98.02999877929688, 4877.0, *
IDCC, 99.66000366210938, ---, 04/24/2024, ---, 100.12999725341797, 98.79000091552734, 4050.0, *
IDCC, 99.91000366210938, ---, 04/25/2024, ---, 100.2699966430664, 98.36000061035156, 2835.0, *
IDCC, 100.70999908447266, ---, 04/26/2024, ---, 101.16999816894531, 100.06999969482422, 3608.0, *
IDCC, 100.94000244140625, ---, 04/29/2024, ---, 101.33000183105469, 100.41999816894531, 3087.0, *
IDCC, 98.7300033569336, ---, 04/30/2024, ---, 100.69000244140625, 98.30000305175781, 7044.0, *
